fen,move
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d5
rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,e6
rnbqkbnr/ppp2ppp/4p3/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,exd5
rnbqkbnr/ppp2ppp/8/3p4/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 4,Bg4
rn1qkbnr/ppp2ppp/8/3p4/3P2b1/4BN2/PPP2PPP/RN1QKB1R b KQkq - 3 5,Nc6
r2qkbnr/ppp2ppp/2n5/3p4/3P2b1/4BN2/PPP1BPPP/RN1QK2R b KQkq - 5 6,Nf6
r2qkb1r/ppp2ppp/2n2n2/3p4/3P2b1/2P1BN2/PP2BPPP/RN1QK2R b KQkq - 0 7,Bd6
r2qk2r/ppp2ppp/2nb1n2/3p4/3P2b1/2P1BN1P/PP2BPP1/RN1QK2R b KQkq - 0 8,Bxf3
r2qk2r/ppp2ppp/2nb1n2/3p4/3P4/2P1BB1P/PP3PP1/RN1QK2R b KQkq - 0 9,O-O
r2q1rk1/ppp2ppp/2nb1n2/3p4/3P4/2P1BB1P/PP3PP1/RN1Q1RK1 b - - 2 10,Ne7
r2q1rk1/ppp1nppp/3b1n2/3p4/3P4/1PP1BB1P/P4PP1/RN1Q1RK1 b - - 0 11,Nf5
r2q1rk1/ppp2ppp/3b1n2/3p1nB1/3P4/1PP2B1P/P4PP1/RN1Q1RK1 b - - 2 12,h6
r2q1rk1/ppp2pp1/3b1B1p/3p1n2/3P4/1PP2B1P/P4PP1/RN1Q1RK1 b - - 0 13,Qxf6
r4rk1/ppp2pp1/3b1q1p/3B1n2/3P4/1PP4P/P4PP1/RN1Q1RK1 b - - 0 14,c6
r4rk1/pp3pp1/2pb1q1p/5n2/3P4/1PP2B1P/P4PP1/RN1Q1RK1 b - - 1 15,Rfe8
r3r1k1/pp3pp1/2pb1q1p/5n2/3P4/1PP2B1P/P2N1PP1/R2Q1RK1 b - - 3 16,Rab8
1r2r1k1/pp3pp1/2pb1q1p/5n2/3PN3/1PP2B1P/P4PP1/R2Q1RK1 b - - 5 17,Qd8
1r1qr1k1/pp3pp1/2pb3p/5n2/1P1PN3/2P2B1P/P4PP1/R2Q1RK1 b - - 0 18,b5
1r1qr1k1/p4pp1/2pb3p/1p3n2/1P1PN3/P1P2B1P/5PP1/R2Q1RK1 b - - 0 19,Rxe4
1r1q2k1/p4pp1/2pb3p/1p3n2/1P1PB3/P1P4P/5PP1/R2Q1RK1 b - - 0 20,g6
1r1q2k1/p4p2/2Bb2pp/1p3n2/1P1P4/P1P4P/5PP1/R2Q1RK1 b - - 0 21,Qh4
1r4k1/p4p2/2Bb2pp/1p3n2/1P1P2Qq/P1P4P/5PP1/R4RK1 b - - 2 22,Qxg4
1r4k1/p4p2/2Bb2pp/1p3n2/1P1P2P1/P1P5/5PP1/R4RK1 b - - 0 23,Ne7
1r4k1/p3np2/3b2pp/1p6/1P1P2P1/P1P2B2/5PP1/R4RK1 b - - 2 24,h5
1r4k1/p3np2/3b2p1/1p5P/1P1P4/P1P2B2/5PP1/R4RK1 b - - 0 25,Kg7
1r6/p3npk1/3b2p1/1p5P/1P1P4/P1P2B2/5PP1/4RRK1 b - - 2 26,Re8
